method p l int.effect mode strategy n power
347 matern 1 1 0.2 AICc average 100 0.335
348 matern 1 1.5 0.2 AICc average 100 0.74
349 matern 1 0.5 0.2 GCVc erm 100 0.015
350 matern 1 1 0.2 GCVc erm 100 0.485
351 matern 1 1.5 0.2 GCVc erm 100 0.66
352 matern 1 0.5 0.2 GCVc average 100 0.01
353 matern 1 1 0.2 GCVc average 100 0.315
354 matern 1 1.5 0.2 GCVc average 100 0.745
355 matern 1 0.5 0.2 gmpml erm 100 0.03
356 matern 1 1 0.2 gmpml erm 100 0.51
357 matern 1 1.5 0.2 gmpml erm 100 0.795
358 matern 1 0.5 0.2 gmpml average 100 0.03
359 matern 1 1 0.2 gmpml average 100 0.4
360 matern 1 1.5 0.2 gmpml average 100 0.72
361 matern 1 0.5 0.3 loocv erm 100 0.04
362 matern 1 1 0.3 loocv erm 100 0.34
363 matern 1 1.5 0.3 loocv erm 100 0.46
364 matern 1 0.5 0.3 loocv average 100 0.01
365 matern 1 1 0.3 loocv average 100 0.255
366 matern 1 1.5 0.3 loocv average 100 0.625
367 matern 1 0.5 0.3 AICc erm 100 0.02
368 matern 1 1 0.3 AICc erm 100 0.34
369 matern 1 1.5 0.3 AICc erm 100 0.63
370 matern 1 0.5 0.3 AICc average 100 0.01
371 matern 1 1 0.3 AICc average 100 0.395
372 matern 1 1.5 0.3 AICc average 100 0.785
373 matern 1 0.5 0.3 GCVc erm 100 0.015
374 matern 1 1 0.3 GCVc erm 100 0.355
375 matern 1 1.5 0.3 GCVc erm 100 0.58
376 matern 1 0.5 0.3 GCVc average 100 0.02
377 matern 1 1 0.3 GCVc average 100 0.38
378 matern 1 1.5 0.3 GCVc average 100 0.66
379 matern 1 0.5 0.3 gmpml erm 100 0.05
380 matern 1 1 0.3 gmpml erm 100 0.475
381 matern 1 1.5 0.3 gmpml erm 100 0.77
382 matern 1 0.5 0.3 gmpml average 100 0.005
383 matern 1 1 0.3 gmpml average 100 0.4
384 matern 1 1.5 0.3 gmpml average 100 0.695
385 matern 2 0.5 0 loocv erm 100 0.01
386 matern 2 1 0 loocv erm 100 0.045
387 matern 2 1.5 0 loocv erm 100 0.05
388 matern 2 0.5 0 loocv average 100 0.025
389 matern 2 1 0 loocv average 100 0
390 matern 2 1.5 0 loocv average 100 0.005
391 matern 2 0.5 0 AICc erm 100 0.02
392 matern 2 1 0 AICc erm 100 0.035
393 matern 2 1.5 0 AICc erm 100 0.025
394 matern 2 0.5 0 AICc average 100 0.215
395 matern 2 1 0 AICc average 100 0.055
396 matern 2 1.5 0 AICc average 100 0.02
397 matern 2 0.5 0 GCVc erm 100 0.005
398 matern 2 1 0 GCVc erm 100 0.045
399 matern 2 1.5 0 GCVc erm 100 0.03
400 matern 2 0.5 0 GCVc average 100 0.03
401 matern 2 1 0 GCVc average 100 0.01
