method	p	l	int.effect	mode	strategy	n	power								
rbf	3	1.5	0.1	GCVc	average	100	0.81								
rbf	3	1.5	0.1	gmpml	erm	100	0.81								
rbf	3	1.5	0.1	gmpml	average	100	0.89								
rbf	3	1.5	0.2	loocv	erm	100	0.675								
rbf	3	1.5	0.2	loocv	average	100	0.735								
rbf	3	1.5	0.2	AICc	erm	100	0.935								
rbf	3	1.5	0.2	AICc	average	100	0.9								
rbf	3	1.5	0.2	GCVc	erm	100	0.92								
rbf	3	1.5	0.2	GCVc	average	100	0.89								
rbf	3	1.5	0.2	gmpml	erm	100	0.935								
rbf	3	1.5	0.2	gmpml	average	100	0.905								
rbf	3	1.5	0.3	loocv	erm	100	0.64								
rbf	3	1.5	0.3	loocv	average	100	0.695								
rbf	3	1.5	0.3	AICc	erm	100	0.885								
rbf	3	1.5	0.3	AICc	average	100	0.92								
rbf	3	1.5	0.3	GCVc	erm	100	0.935								
rbf	3	1.5	0.3	GCVc	average	100	0.93								
rbf	3	1.5	0.3	gmpml	erm	100	0.95								
rbf	3	1.5	0.3	gmpml	average	100	0.945								
matern	0	0.5	0	loocv	erm	100	0.005								
matern	0	0.5	0	loocv	average	100	0								
matern	0	0.5	0	AICc	erm	100	0.01								
matern	0	0.5	0	AICc	average	100	0.01								
matern	0	0.5	0	GCVc	erm	100	0								
matern	0	0.5	0	GCVc	average	100	0								
matern	0	0.5	0	gmpml	erm	100	0								
matern	0	0.5	0	gmpml	average	100	0								
matern	0	0.5	0.1	loocv	erm	100	0								
matern	0	0.5	0.1	loocv	average	100	0								
matern	0	0.5	0.1	AICc	erm	100	0								
matern	0	0.5	0.1	AICc	average	100	0.005								
matern	0	0.5	0.1	GCVc	erm	100	0								
matern	0	0.5	0.1	GCVc	average	100	0								
matern	0	0.5	0.1	gmpml	erm	100	0								
matern	0	0.5	0.1	gmpml	average	100	0								
matern	0	0.5	0.2	loocv	erm	100	0								
matern	0	0.5	0.2	loocv	average	100	0								
matern	0	0.5	0.2	AICc	erm	100	0								
matern	0	0.5	0.2	AICc	average	100	0.005								
matern	0	0.5	0.2	GCVc	erm	100	0								
matern	0	0.5	0.2	GCVc	average	100	0								
matern	0	0.5	0.2	gmpml	erm	100	0								
matern	0	0.5	0.2	gmpml	average	100	0								
matern	0	0.5	0.3	loocv	erm	100	0								
matern	0	0.5	0.3	loocv	average	100	0								
matern	0	0.5	0.3	AICc	erm	100	0								
matern	0	0.5	0.3	AICc	average	100	0								
matern	0	0.5	0.3	GCVc	erm	100	0								
matern	0	0.5	0.3	GCVc	average	100	0								
matern	0	0.5	0.3	gmpml	erm	100	0								
matern	0	0.5	0.3	gmpml	average	100	0								
matern	1	1	0	loocv	erm	100	0								
matern	1	1	0	loocv	average	100	0								
matern	1	1	0	AICc	erm	100	0.025								
matern	1	1	0	AICc	average	100	0.02								
matern	1	1	0	GCVc	erm	100	0								
matern	1	1	0	GCVc	average	100	0								
matern	1	1	0	gmpml	erm	100	0								
matern	1	1	0	gmpml	average	100	0								
matern	1	1	0.1	loocv	erm	100	0.02								
matern	1	1	0.1	loocv	average	100	0.02								
matern	1	1	0.1	AICc	erm	100	0.225								
matern	1	1	0.1	AICc	average	100	0.265								
matern	1	1	0.1	GCVc	erm	100	0.105								
matern	1	1	0.1	GCVc	average	100	0.1								
matern	1	1	0.1	gmpml	erm	100	0.005								
matern	1	1	0.1	gmpml	average	100	0								
