method p l int.effect mode strategy n power test
rbf 1 0.5 0.1 loocv exp 100 0.06 asym
rbf 1 0.5 0.1 loocv average 100 0.065 asym
rbf 1 0.5 0.2 loocv exp 100 0.09 asym
rbf 1 0.5 0.2 loocv average 100 0.11 asym
rbf 1 0.5 0.3 loocv exp 100 0.065 asym
rbf 1 0.5 0.3 loocv average 100 0.09 asym
rbf 1 0.5 0.4 loocv exp 100 0.08 asym
rbf 1 0.5 0.4 loocv average 100 0.08 asym
rbf 1 0.5 0.5 loocv exp 100 0.115 asym
rbf 1 0.5 0.5 loocv average 100 0.08 asym
rbf 1 0.5 0.6 loocv exp 100 0.045 asym
rbf 1 0.5 0.6 loocv average 100 0.03 asym
rbf 1 0.5 0.7 loocv exp 100 0.06 asym
rbf 1 0.5 0.7 loocv average 100 0.055 asym
rbf 1 0.5 0.8 loocv exp 100 0.075 asym
rbf 1 0.5 0.8 loocv average 100 0.045 asym
rbf 1 0.5 0.9 loocv exp 100 0.075 asym
rbf 1 0.5 0.9 loocv average 100 0.06 asym
rbf 1 0.5 1 loocv exp 100 0.06 asym
rbf 1 0.5 1 loocv average 100 0.055 asym
rbf 2 1 0 loocv exp 100 0 asym
rbf 2 1 0 loocv average 100 0.015 asym
rbf 2 1 0.1 loocv exp 100 0.505 asym
rbf 2 1 0.1 loocv average 100 0.595 asym
rbf 2 1 0.2 loocv exp 100 0.72 asym
rbf 2 1 0.2 loocv average 100 0.74 asym
rbf 2 1 0.3 loocv exp 100 0.77 asym
rbf 2 1 0.3 loocv average 100 0.775 asym
rbf 2 1 0.4 loocv exp 100 0.75 asym
rbf 2 1 0.4 loocv average 100 0.76 asym
rbf 2 1 0.5 loocv exp 100 0.8 asym
rbf 2 1 0.5 loocv average 100 0.81 asym
rbf 2 1 0.6 loocv exp 100 0.785 asym
rbf 2 1 0.6 loocv average 100 0.775 asym
rbf 2 1 0.7 loocv exp 100 0.785 asym
rbf 2 1 0.7 loocv average 100 0.78 asym
rbf 2 1 0.8 loocv exp 100 0.745 asym
rbf 2 1 0.8 loocv average 100 0.8 asym
rbf 2 1 0.9 loocv exp 100 0.765 asym
rbf 2 1 0.9 loocv average 100 0.78 asym
rbf 2 1 1 loocv exp 100 0.755 asym
rbf 2 1 1 loocv average 100 0.78 asym
rbf 3 1.5 0 loocv exp 100 0.015 asym
rbf 3 1.5 0 loocv average 100 0.035 asym
rbf 3 1.5 0.1 loocv exp 100 0.84 asym
rbf 3 1.5 0.1 loocv average 100 0.795 asym
rbf 3 1.5 0.2 loocv exp 100 0.875 asym
