"","method","p","l","int.effect","mode","strategy","n","power","test"
"193","matern_0.5",0,"0.5",0,"loocv","erm",100,0.025,"loocv, erm"
"194","matern_0.5",0,"0.5",0,"loocv","average",100,0.01,"loocv, average"
"195","matern_0.5",0,"0.5",0,"AICc","erm",100,0.045,"AICc, erm"
"196","matern_0.5",0,"0.5",0,"AICc","average",100,0.055,"AICc, average"
"197","matern_0.5",0,"0.5",0,"GCVc","erm",100,0.06,"GCVc, erm"
"198","matern_0.5",0,"0.5",0,"GCVc","average",100,0.03,"GCVc, average"
"199","matern_0.5",0,"0.5",0,"gmpml","erm",100,0.085,"gmpml, erm"
"200","matern_0.5",0,"0.5",0,"gmpml","average",100,0.085,"gmpml, average"
"201","matern_0.5",0,"0.5",0.1,"loocv","erm",100,0.015,"loocv, erm"
"202","matern_0.5",0,"0.5",0.1,"loocv","average",100,0,"loocv, average"
"203","matern_0.5",0,"0.5",0.1,"AICc","erm",100,0.045,"AICc, erm"
"204","matern_0.5",0,"0.5",0.1,"AICc","average",100,0.06,"AICc, average"
"205","matern_0.5",0,"0.5",0.1,"GCVc","erm",100,0.04,"GCVc, erm"
"206","matern_0.5",0,"0.5",0.1,"GCVc","average",100,0.065,"GCVc, average"
"207","matern_0.5",0,"0.5",0.1,"gmpml","erm",100,0.06,"gmpml, erm"
"208","matern_0.5",0,"0.5",0.1,"gmpml","average",100,0.06,"gmpml, average"
"209","matern_0.5",0,"0.5",0.2,"loocv","erm",100,0.025,"loocv, erm"
"210","matern_0.5",0,"0.5",0.2,"loocv","average",100,0.01,"loocv, average"
"211","matern_0.5",0,"0.5",0.2,"AICc","erm",100,0.065,"AICc, erm"
"212","matern_0.5",0,"0.5",0.2,"AICc","average",100,0.07,"AICc, average"
"213","matern_0.5",0,"0.5",0.2,"GCVc","erm",100,0.04,"GCVc, erm"
"214","matern_0.5",0,"0.5",0.2,"GCVc","average",100,0.06,"GCVc, average"
"215","matern_0.5",0,"0.5",0.2,"gmpml","erm",100,0.095,"gmpml, erm"
"216","matern_0.5",0,"0.5",0.2,"gmpml","average",100,0.09,"gmpml, average"
"217","matern_0.5",0,"0.5",0.3,"loocv","erm",100,0.01,"loocv, erm"
"218","matern_0.5",0,"0.5",0.3,"loocv","average",100,0,"loocv, average"
"219","matern_0.5",0,"0.5",0.3,"AICc","erm",100,0.035,"AICc, erm"
"220","matern_0.5",0,"0.5",0.3,"AICc","average",100,0.055,"AICc, average"
"221","matern_0.5",0,"0.5",0.3,"GCVc","erm",100,0.07,"GCVc, erm"
"222","matern_0.5",0,"0.5",0.3,"GCVc","average",100,0.04,"GCVc, average"
"223","matern_0.5",0,"0.5",0.3,"gmpml","erm",100,0.08,"gmpml, erm"
"224","matern_0.5",0,"0.5",0.3,"gmpml","average",100,0.09,"gmpml, average"
"225","matern_1.5",1,"1",0,"loocv","erm",100,0.075,"loocv, erm"
"226","matern_1.5",1,"1",0,"loocv","average",100,0.025,"loocv, average"
"227","matern_1.5",1,"1",0,"AICc","erm",100,0.11,"AICc, erm"
"228","matern_1.5",1,"1",0,"AICc","average",100,0.105,"AICc, average"
"229","matern_1.5",1,"1",0,"GCVc","erm",100,0.115,"GCVc, erm"
"230","matern_1.5",1,"1",0,"GCVc","average",100,0.11,"GCVc, average"
"231","matern_1.5",1,"1",0,"gmpml","erm",100,0.135,"gmpml, erm"
"232","matern_1.5",1,"1",0,"gmpml","average",100,0.145,"gmpml, average"
"233","matern_1.5",1,"1",0.1,"loocv","erm",100,0.085,"loocv, erm"
"234","matern_1.5",1,"1",0.1,"loocv","average",100,0.03,"loocv, average"
"235","matern_1.5",1,"1",0.1,"AICc","erm",100,0.195,"AICc, erm"
"236","matern_1.5",1,"1",0.1,"AICc","average",100,0.215,"AICc, average"
"237","matern_1.5",1,"1",0.1,"GCVc","erm",100,0.21,"GCVc, erm"
"238","matern_1.5",1,"1",0.1,"GCVc","average",100,0.17,"GCVc, average"
"239","matern_1.5",1,"1",0.1,"gmpml","erm",100,0.2,"gmpml, erm"
"240","matern_1.5",1,"1",0.1,"gmpml","average",100,0.15,"gmpml, average"
"241","matern_1.5",1,"1",0.2,"loocv","erm",100,0.13,"loocv, erm"
"242","matern_1.5",1,"1",0.2,"loocv","average",100,0.07,"loocv, average"
"243","matern_1.5",1,"1",0.2,"AICc","erm",100,0.185,"AICc, erm"
"244","matern_1.5",1,"1",0.2,"AICc","average",100,0.285,"AICc, average"
"245","matern_1.5",1,"1",0.2,"GCVc","erm",100,0.225,"GCVc, erm"
"246","matern_1.5",1,"1",0.2,"GCVc","average",100,0.235,"GCVc, average"
"247","matern_1.5",1,"1",0.2,"gmpml","erm",100,0.245,"gmpml, erm"
"248","matern_1.5",1,"1",0.2,"gmpml","average",100,0.285,"gmpml, average"
"249","matern_1.5",1,"1",0.3,"loocv","erm",100,0.155,"loocv, erm"
"250","matern_1.5",1,"1",0.3,"loocv","average",100,0.115,"loocv, average"
"251","matern_1.5",1,"1",0.3,"AICc","erm",100,0.305,"AICc, erm"
"252","matern_1.5",1,"1",0.3,"AICc","average",100,0.305,"AICc, average"
"253","matern_1.5",1,"1",0.3,"GCVc","erm",100,0.27,"GCVc, erm"
"254","matern_1.5",1,"1",0.3,"GCVc","average",100,0.29,"GCVc, average"
"255","matern_1.5",1,"1",0.3,"gmpml","erm",100,0.275,"gmpml, erm"
"256","matern_1.5",1,"1",0.3,"gmpml","average",100,0.36,"gmpml, average"
"257","matern_2.5",2,"1.5",0,"loocv","erm",100,0.055,"loocv, erm"
"258","matern_2.5",2,"1.5",0,"loocv","average",100,0.045,"loocv, average"
"259","matern_2.5",2,"1.5",0,"AICc","erm",100,0.115,"AICc, erm"
"260","matern_2.5",2,"1.5",0,"AICc","average",100,0.14,"AICc, average"
"261","matern_2.5",2,"1.5",0,"GCVc","erm",100,0.13,"GCVc, erm"
"262","matern_2.5",2,"1.5",0,"GCVc","average",100,0.13,"GCVc, average"
"263","matern_2.5",2,"1.5",0,"gmpml","erm",100,0.115,"gmpml, erm"
"264","matern_2.5",2,"1.5",0,"gmpml","average",100,0.07,"gmpml, average"
"265","matern_2.5",2,"1.5",0.1,"loocv","erm",100,0.37,"loocv, erm"
"266","matern_2.5",2,"1.5",0.1,"loocv","average",100,0.305,"loocv, average"
"267","matern_2.5",2,"1.5",0.1,"AICc","erm",100,0.55,"AICc, erm"
"268","matern_2.5",2,"1.5",0.1,"AICc","average",100,0.575,"AICc, average"
"269","matern_2.5",2,"1.5",0.1,"GCVc","erm",100,0.545,"GCVc, erm"
"270","matern_2.5",2,"1.5",0.1,"GCVc","average",100,0.62,"GCVc, average"
"271","matern_2.5",2,"1.5",0.1,"gmpml","erm",100,0.5,"gmpml, erm"
"272","matern_2.5",2,"1.5",0.1,"gmpml","average",100,0.62,"gmpml, average"
"273","matern_2.5",2,"1.5",0.2,"loocv","erm",100,0.46,"loocv, erm"
"274","matern_2.5",2,"1.5",0.2,"loocv","average",100,0.415,"loocv, average"
"275","matern_2.5",2,"1.5",0.2,"AICc","erm",100,0.61,"AICc, erm"
"276","matern_2.5",2,"1.5",0.2,"AICc","average",100,0.795,"AICc, average"
"277","matern_2.5",2,"1.5",0.2,"GCVc","erm",100,0.615,"GCVc, erm"
"278","matern_2.5",2,"1.5",0.2,"GCVc","average",100,0.78,"GCVc, average"
"279","matern_2.5",2,"1.5",0.2,"gmpml","erm",100,0.675,"gmpml, erm"
"280","matern_2.5",2,"1.5",0.2,"gmpml","average",100,0.795,"gmpml, average"
"281","matern_2.5",2,"1.5",0.3,"loocv","erm",100,0.39,"loocv, erm"
"282","matern_2.5",2,"1.5",0.3,"loocv","average",100,0.445,"loocv, average"
"283","matern_2.5",2,"1.5",0.3,"AICc","erm",100,0.675,"AICc, erm"
"284","matern_2.5",2,"1.5",0.3,"AICc","average",100,0.83,"AICc, average"
"285","matern_2.5",2,"1.5",0.3,"GCVc","erm",100,0.635,"GCVc, erm"
"286","matern_2.5",2,"1.5",0.3,"GCVc","average",100,0.82,"GCVc, average"
"287","matern_2.5",2,"1.5",0.3,"gmpml","erm",100,0.755,"gmpml, erm"
"288","matern_2.5",2,"1.5",0.3,"gmpml","average",100,0.82,"gmpml, average"
"289","matern_0.5",0,"1",0,"loocv","erm",100,0.065,"loocv, erm"
"290","matern_0.5",0,"1.5",0,"loocv","erm",100,0.025,"loocv, erm"
"291","matern_0.5",0,"1",0,"loocv","average",100,0.035,"loocv, average"
"292","matern_0.5",0,"1.5",0,"loocv","average",100,0.035,"loocv, average"
"293","matern_0.5",0,"1",0,"AICc","erm",100,0.1,"AICc, erm"
"294","matern_0.5",0,"1.5",0,"AICc","erm",100,0.1,"AICc, erm"
"295","matern_0.5",0,"1",0,"AICc","average",100,0.07,"AICc, average"
"296","matern_0.5",0,"1.5",0,"AICc","average",100,0.09,"AICc, average"
"297","matern_0.5",0,"1",0,"GCVc","erm",100,0.085,"GCVc, erm"
"298","matern_0.5",0,"1.5",0,"GCVc","erm",100,0.11,"GCVc, erm"
"299","matern_0.5",0,"1",0,"GCVc","average",100,0.08,"GCVc, average"
"300","matern_0.5",0,"1.5",0,"GCVc","average",100,0.11,"GCVc, average"
"301","matern_0.5",0,"1",0,"gmpml","erm",100,0.09,"gmpml, erm"
"302","matern_0.5",0,"1.5",0,"gmpml","erm",100,0.1,"gmpml, erm"
"303","matern_0.5",0,"1",0,"gmpml","average",100,0.09,"gmpml, average"
"304","matern_0.5",0,"1.5",0,"gmpml","average",100,0.08,"gmpml, average"
"305","matern_0.5",0,"1",0.1,"loocv","erm",100,0.02,"loocv, erm"
"306","matern_0.5",0,"1.5",0.1,"loocv","erm",100,0.03,"loocv, erm"
"307","matern_0.5",0,"1",0.1,"loocv","average",100,0.005,"loocv, average"
"308","matern_0.5",0,"1.5",0.1,"loocv","average",100,0.03,"loocv, average"
"309","matern_0.5",0,"1",0.1,"AICc","erm",100,0.095,"AICc, erm"
"310","matern_0.5",0,"1.5",0.1,"AICc","erm",100,0.1,"AICc, erm"
"311","matern_0.5",0,"1",0.1,"AICc","average",100,0.065,"AICc, average"
"312","matern_0.5",0,"1.5",0.1,"AICc","average",100,0.06,"AICc, average"
"313","matern_0.5",0,"1",0.1,"GCVc","erm",100,0.065,"GCVc, erm"
"314","matern_0.5",0,"1.5",0.1,"GCVc","erm",100,0.09,"GCVc, erm"
"315","matern_0.5",0,"1",0.1,"GCVc","average",100,0.05,"GCVc, average"
"316","matern_0.5",0,"1.5",0.1,"GCVc","average",100,0.085,"GCVc, average"
"317","matern_0.5",0,"1",0.1,"gmpml","erm",100,0.09,"gmpml, erm"
"318","matern_0.5",0,"1.5",0.1,"gmpml","erm",100,0.06,"gmpml, erm"
"319","matern_0.5",0,"1",0.1,"gmpml","average",100,0.095,"gmpml, average"
"320","matern_0.5",0,"1.5",0.1,"gmpml","average",100,0.07,"gmpml, average"
"321","matern_0.5",0,"1",0.2,"loocv","erm",100,0.035,"loocv, erm"
"322","matern_0.5",0,"1.5",0.2,"loocv","erm",100,0.02,"loocv, erm"
"323","matern_0.5",0,"1",0.2,"loocv","average",100,0.005,"loocv, average"
"324","matern_0.5",0,"1.5",0.2,"loocv","average",100,0.015,"loocv, average"
"325","matern_0.5",0,"1",0.2,"AICc","erm",100,0.085,"AICc, erm"
"326","matern_0.5",0,"1.5",0.2,"AICc","erm",100,0.065,"AICc, erm"
"327","matern_0.5",0,"1",0.2,"AICc","average",100,0.065,"AICc, average"
"328","matern_0.5",0,"1.5",0.2,"AICc","average",100,0.08,"AICc, average"
